Date,name,Low,Average7_Low,Max7_Low,Min7_Low,Varp7_Low,Average30_Low,Max30_Low,Min30_Low,Varp30_Low,Open,Average7_Open,Max7_Open,Min7_Open,Varp7_Open,Average30_Open,Max30_Open,Min30_Open,Varp30_Open,Volume,Average7_Volume,Max7_Volume,Min7_Volume,Varp7_Volume,Average30_Volume,Max30_Volume,Min30_Volume,Varp30_Volume,High,Average7_High,Max7_High,Min7_High,Varp7_High,Average30_High,Max30_High,Min30_High,Varp30_High,Close,Average7_Close,Max7_Close,Min7_Close,Varp7_Close,Average30_Close,Max30_Close,Min30_Close,Varp30_Close,Adjusted Close,Average7_Adjusted Close,Max7_Adjusted Close,Min7_Adjusted Close,Varp7_Adjusted Close,Average30_Adjusted Close,Max30_Adjusted Close,Min30_Adjusted Close,Varp30_Adjusted Close,Close_today,Daily_increase,Confirmed,Average7_Confirmed,Max7_Confirmed,Min7_Confirmed,Varp7_Confirmed,Average30_Confirmed,Max30_Confirmed,Min30_Confirmed,Varp30_Confirmed,Confirmed_increase,Average7_Confirmed_increase,Max7_Confirmed_increase,Min7_Confirmed_increase,Varp7_Confirmed_increase,Average30_Confirmed_increase,Max30_Confirmed_increase,Min30_Confirmed_increase,Varp30_Confirmed_increase,Deaths_increase,Average7_Deaths_increase,Max7_Deaths_increase,Min7_Deaths_increase,Varp7_Deaths_increase,Average30_Deaths_increase,Max30_Deaths_increase,Min30_Deaths_increase,Varp30_Deaths_increase,Deaths,Average7_Deaths,Max7_Deaths,Min7_Deaths,Varp7_Deaths,Average30_Deaths,Max30_Deaths,Min30_Deaths,Varp30_Deaths,Incident_Rate,Average7_Incident_Rate,Max7_Incident_Rate,Min7_Incident_Rate,Varp7_Incident_Rate,Average30_Incident_Rate,Max30_Incident_Rate,Min30_Incident_Rate,Varp30_Incident_Rate,Total_Test_Results,Average7_Total_Test_Results,Max7_Total_Test_Results,Min7_Total_Test_Results,Varp7_Total_Test_Results,Average30_Total_Test_Results,Max30_Total_Test_Results,Min30_Total_Test_Results,Varp30_Total_Test_Results,Case_Fatality_Ratio,Average7_Case_Fatality_Ratio,Max7_Case_Fatality_Ratio,Min7_Case_Fatality_Ratio,Varp7_Case_Fatality_Ratio,Average30_Case_Fatality_Ratio,Max30_Case_Fatality_Ratio,Min30_Case_Fatality_Ratio,Varp30_Case_Fatality_Ratio,Testing_Rate,Average7_Testing_Rate,Max7_Testing_Rate,Min7_Testing_Rate,Varp7_Testing_Rate,Average30_Testing_Rate,Max30_Testing_Rate,Min30_Testing_Rate,Varp30_Testing_Rate
2020/5/11,AMZN,1.313266481,1.270178426,1.268844965,1.265466264,0.479784245,1.187777662,1.229613889,1.025339728,4.787226095,1.291206572,1.267079353,1.244937719,1.243687665,0.292579761,1.188624643,1.2392369,1.015032321,4.756332905,-0.553372335,-0.463414119,-0.171843553,-0.458516073,-0.191084232,-0.330637182,-0.344319765,-0.300168313,-0.371343593,1.308049785,1.270057685,1.265193747,1.281585226,0.002027797,1.200509917,1.247313801,1.014932998,4.539648455,1.298441936,1.273832707,1.277088252,1.270028407,0.347339977,1.199508537,1.272627892,1.018231973,4.521715337,1.299124264,1.283964035,1.333338682,1.272284095,1.069839396,1.187483526,1.274929208,1.01517817,4.85789843,1.321755364,1.235071784,-1.440049987,-1.43088334,-1.440049987,-1.421789953,-0.691666197,-1.40120598,-1.440049987,-1.363966423,-0.693836249,-1.044989413,-0.96075452,-0.9898835,-0.721011441,-0.504718315,-0.90931975,-1.015969359,-0.644371067,-0.641413991,-0.22647955,0.553360077,0.363560675,0.557574005,-0.079042091,0.96989773,1.976295483,0.782417761,1.080201145,-1.558357955,-1.561250203,-1.558357955,-1.570580983,0.224179503,-1.598966676,-1.558357955,-1.662524666,0.777053923,-1.429497952,-1.421462119,-1.42955457,-1.413480687,-0.720734442,-1.394257913,-1.42955457,-1.357785592,-0.724650036,-1.460831863,-1.451634885,-1.460823092,-1.441493779,-1.288635898,-1.413109526,-1.460823092,-1.361608839,-1.378199371,2.507985771,2.459349773,2.309001433,2.564369194,-0.142950377,1.935091148,1.799171354,1.288228905,2.989833221,-1.45391666,-1.444985039,-1.453808203,-1.435941402,-1.149080373,-1.407902744,-1.453808203,-1.357612734,-1.328588712
2020/5/12,AMZN,1.298539072,1.282110865,1.268844965,1.265466264,0.275624303,1.200627823,1.229613889,1.025339728,4.452939421,1.322793653,1.276215299,1.275706483,1.243687665,0.541435765,1.202639933,1.2392369,1.015032321,4.44393516,-0.576243864,-0.597083763,-0.563641036,-0.467632974,-0.298300619,-0.345556377,-0.344319765,-0.312152163,-0.366682764,1.307486142,1.276871772,1.265193747,1.281585226,0.128228345,1.213143024,1.247313801,1.014932998,4.23301955,1.323470554,1.282473615,1.277088252,1.296219936,0.082444364,1.210781847,1.272627892,1.018231973,4.201920278,1.324130678,1.276045118,1.279285486,1.272284095,0.348075257,1.202079172,1.274929208,1.021121315,4.49102581,1.277463571,-2.160649606,-1.43846668,-1.429190536,-1.43846668,-1.420056249,-0.695865191,-1.399240071,-1.43846668,-1.362113097,-0.694802856,-0.98766822,-0.965175529,-0.9898835,-0.721011441,-0.504497407,-0.910475997,-1.015969359,-0.644371067,-0.641076178,0.253415593,0.483042348,0.363560675,0.557574005,-0.158622312,1.008772896,1.976295483,0.96201008,0.926725303,-1.550292929,-1.553449686,-1.550292929,-1.559832026,0.02694313,-1.58918832,-1.550292929,-1.655066884,0.70816664,-1.427909392,-1.419580219,-1.427965968,-1.411507002,-0.727487313,-1.39224932,-1.427965968,-1.354327737,-0.724858169,-1.459173478,-1.45001075,-1.459164731,-1.440267386,-1.282118683,-1.41188582,-1.459164731,-1.360956974,-1.375382732,2.576417697,2.473779146,2.330810408,2.599816818,-0.147148314,1.980589831,1.817608623,1.288228905,2.494189603,-1.452097052,-1.443132955,-1.451989031,-1.434230131,-1.146466912,-1.406522727,-1.451989031,-1.356708907,-1.324654247
2020/5/13,AMZN,1.28373433,1.292153786,1.268844965,1.310332158,-0.126152676,1.212058895,1.229613889,1.025339728,4.128192603,1.284489644,1.289655025,1.275706483,1.307555144,-0.073442245,1.214178903,1.2392369,1.015032321,4.123809619,-0.364282006,-0.598740239,-0.570268543,-0.467632974,-0.299020192,-0.347222268,-0.344319765,-0.312152163,-0.366423829,1.297978784,1.286595338,1.265193747,1.302336566,-0.023773821,1.224899894,1.247313801,1.014932998,3.908769938,1.279144405,1.288802889,1.277088252,1.297802797,-0.036798755,1.222778026,1.272627892,1.018231973,3.800408816,1.279843853,1.284684037,1.279285486,1.298469953,0.083027736,1.213350716,1.274929208,1.021121315,4.173254737,1.286798427,0.465430799,-1.436980751,-1.427532104,-1.436980751,-1.41800788,-0.7007471,-1.397284985,-1.436980751,-1.360157963,-0.695983042,-1.007229077,-0.973098958,-0.9898835,-0.721011441,-0.503955325,-0.913026326,-1.015969359,-0.644371067,-0.640325852,0.298594006,0.391863092,0.363560675,0.557574005,-0.339303633,1.015790229,1.976295483,0.96201008,0.912956115,-1.542009272,-1.546001182,-1.542009272,-1.549053913,-0.04565034,-1.579383575,-1.542009272,-1.6438125,0.631040628,-1.426243854,-1.417740884,-1.426300386,-1.409159045,-0.734624733,-1.390310335,-1.426300386,-1.354327737,-0.724479946,-1.457268317,-1.448288543,-1.457259598,-1.438493881,-1.278124262,-1.410619195,-1.457259598,-1.360145134,-1.372321168,2.608264218,2.486358122,2.360290396,2.599816818,-0.136318116,2.027186953,1.842530953,1.521792776,1.927351546,-1.450179625,-1.44125022,-1.450072063,-1.432371299,-1.1452603,-1.405107761,-1.450072063,-1.355875905,-1.320596603
2020/5/14,AMZN,1.296998308,1.297830969,1.268844965,1.321709972,-0.213158615,1.225414009,1.229613889,1.025339728,3.595894467,1.279566637,1.292211727,1.275706483,1.307555144,-0.117902302,1.226448731,1.2392369,1.015032321,3.652555335,-0.50511006,-0.59064546,-0.570268543,-0.467632974,-0.299087652,-0.349538968,-0.344319765,-0.312152163,-0.365129154,1.284239588,1.291461338,1.265193747,1.307908845,-0.123838624,1.237558522,1.247313801,1.014932998,3.37100531,1.288486501,1.297460858,1.277088252,1.327063851,-0.177321123,1.236572771,1.272627892,1.018231973,3.219764124,1.289177661,1.291010634,1.279285486,1.300052525,-0.036287553,1.225345013,1.274929208,1.021121315,3.774284194,1.304608881,0.883905566,-1.435059509,-1.425890561,-1.435059509,-1.41604959,-0.701690073,-1.395329375,-1.435059509,-1.358007631,-0.697176251,-0.919785596,-0.976992366,-1.005112856,-0.721011441,-0.505317803,-0.912902584,-1.015969359,-0.644371067,-0.640327964,0.373891361,0.313092848,-0.03112811,0.557574005,-0.538652233,0.992241264,1.976295483,0.96201008,0.907790172,-1.533361231,-1.538856784,-1.533361231,-1.54158018,0.026502411,-1.569667388,-1.533361231,-1.631847161,0.555503396,-1.430517511,-1.416848703,-1.426300386,-1.406888782,-0.753089929,-1.388503671,-1.426300386,-1.352583782,-0.727123214,-1.455240229,-1.446528631,-1.455231539,-1.436866645,-1.26950472,-1.409310756,-1.455231539,-1.359249343,-1.369014679,2.616292937,2.495904719,2.367722497,2.599816818,-0.124727044,2.06726407,1.848814037,1.624782899,1.537816248,-1.452866401,-1.440017038,-1.450072063,-1.430317493,-1.179847388,-1.403810807,-1.450072063,-1.354929052,-1.319580309
2020/5/15,AMZN,1.299718391,1.30230887,1.268844965,1.337446187,-0.272004716,1.238943244,1.229613889,1.025339728,2.982222312,1.285952057,1.296975713,1.275706483,1.335152958,-0.227178117,1.239827744,1.2392369,1.023746015,3.020539415,-0.432276094,-0.568348891,-0.570268543,-0.467632974,-0.298368079,-0.350032819,-0.344319765,-0.312152163,-0.364870219,1.300755298,1.297912794,1.265193747,1.323934547,-0.214543505,1.251272035,1.247313801,1.014932998,2.725377709,1.306310771,1.304591954,1.277737032,1.332039804,-0.163749997,1.250660105,1.272627892,1.018231973,2.626478228,1.306986118,1.299666626,1.279285486,1.329307258,-0.176890871,1.239144772,1.274929208,1.021121315,3.197314324,1.322419127,0.876150873,-1.433271243,-1.42427211,-1.433271243,-1.414226668,-0.699832993,-1.393384154,-1.433271243,-1.355699061,-0.698350514,-0.946497272,-0.982315478,-1.009910649,-0.721011441,-0.506671619,-0.91535074,-1.015969359,-0.644371067,-0.640369653,0.215264933,0.32819947,-0.03112811,0.557574005,-0.530663616,0.955561705,1.976295483,0.96201008,0.896476922,-1.525480825,-1.531654063,-1.525480825,-1.533814885,0.129112182,-1.560089135,-1.525480825,-1.609565707,0.482275112,-1.428746079,-1.416026177,-1.426300386,-1.404920231,-0.763230216,-1.386694374,-1.426300386,-1.350533333,-0.729804978,-1.453093794,-1.444693219,-1.453085136,-1.435294647,-1.257731688,-1.407959266,-1.453085136,-1.358362755,-1.365340802,2.622724855,2.505711679,2.373676456,2.599816818,-0.114807102,2.104557732,1.853847504,1.761718194,1.188809996,-1.450728981,-1.438770522,-1.450072063,-1.428601202,-1.199334338,-1.4024729,-1.450072063,-1.354108953,-1.318252439
2020/5/18,AMZN,1.323509243,1.307356214,1.278856209,1.337446187,-0.234975707,1.253308262,1.229613889,1.063274181,2.317595793,1.316416744,1.30057214,1.275706483,1.335152958,-0.186491272,1.253963411,1.2392369,1.046515236,2.383882294,-0.417111141,-0.549173682,-0.570268543,-0.467632974,-0.297446126,-0.346378809,-0.344319765,-0.312152163,-0.366682764,1.319265119,1.30477748,1.276163937,1.333644999,-0.223608352,1.265640599,1.247313801,1.080232966,2.020689749,1.324134832,1.311740109,1.291444609,1.332039804,-0.092027374,1.26556497,1.272627892,1.101569433,1.924563194,1.324794366,1.306796091,1.279934148,1.33428209,-0.163311369,1.253225599,1.274929208,1.021121315,2.607783642,1.336442705,0.68387906,-1.428554923,-1.41939804,-1.428554923,-1.409917455,-0.694960179,-1.387681805,-1.428554923,-1.349030542,-0.701583942,-0.996481353,-0.975875926,-1.009910649,-0.696939686,-0.508298787,-0.932353876,-1.015969359,-0.644371067,-0.640776129,-0.578871172,0.203389996,-0.03112811,0.565995367,-0.408161953,0.636036256,0.840508296,0.96201008,-0.102250977,-1.511328161,-1.511035982,-1.511328161,-1.515985806,-0.042766781,-1.534140607,-1.511328161,-1.571957592,0.350688433,-1.423984424,-1.413643689,-1.424040896,-1.402898847,-0.762410739,-1.381361867,-1.424040896,-1.34414251,-0.737279998,-1.447334118,-1.438911862,-1.447325544,-1.430097671,-1.243646096,-1.403678083,-1.447325544,-1.355919752,-1.353829321,2.554446855,2.525669723,2.373676456,2.647740215,-0.145867119,2.189050999,1.853847504,1.985784139,0.479242493,-1.445383535,-1.434993473,-1.44527712,-1.423717665,-1.202323085,-1.39826828,-1.44527712,-1.351377852,-1.314386926
2020/5/19,AMZN,1.362208227,1.316225735,1.316680205,1.337446187,0.025575079,1.267786458,1.256475836,1.126018714,1.783733849,1.338081212,1.307594546,1.290630206,1.335152958,-0.072128578,1.268116275,1.2392369,1.120833608,1.786958034,-0.421665591,-0.526942974,-0.570268543,-0.467632974,-0.298233159,-0.353481954,-0.344319765,-0.312152163,-0.365647024,1.363015605,1.316558765,1.318958374,1.337212985,0.010107617,1.279430676,1.255272468,1.113882485,1.5452903,1.338169287,1.320236008,1.310633553,1.332039804,0.065079531,1.278524973,1.272627892,1.114399738,1.492662412,1.338816371,1.313941379,1.293638696,1.33428209,-0.091545189,1.268130138,1.274929208,1.104453668,1.910311805,1.356074092,0.950848957,-1.427108944,-1.417771323,-1.427108944,-1.40842482,-0.697086517,-1.385823964,-1.427108944,-1.347179045,-0.702741478,-1.015254044,-0.980409993,-1.009910649,-0.696939686,-0.50774042,-0.935940684,-1.015969359,-0.644371067,-0.640155215,0.059650399,0.168680733,-0.03112811,0.565995367,-0.442476349,0.611023552,0.840508296,0.96201008,-0.107562968,-1.504200815,-1.504449111,-1.504200815,-1.507700557,-0.168870007,-1.525858009,-1.504200815,-1.564664249,0.308165409,-1.422531927,-1.412872953,-1.422588359,-1.402898847,-0.753972799,-1.379619702,-1.422588359,-1.342268657,-0.739719814,-1.445216565,-1.436912979,-1.445208021,-1.428183133,-1.242805165,-1.402169983,-1.445208021,-1.355154024,-1.349788057,2.576188334,2.525637528,2.373676456,2.647740215,-0.145844461,2.214401031,1.853847504,2.037010497,0.261115858,-1.442952583,-1.433684272,-1.44284675,-1.423717665,-1.174937775,-1.396784873,-1.44284675,-1.350385329,-1.312819899
2020/5/20,AMZN,1.395174737,1.327951103,1.348901269,1.337446187,0.548660425,1.28141146,1.28768981,1.138576902,1.460361192,1.378927473,1.320156471,1.330504267,1.335152958,0.298992584,1.281323322,1.267075337,1.124397885,1.441273383,-0.461675253,-0.512196345,-0.570268543,-0.467632974,-0.300032092,-0.358938275,-0.344319765,-0.312152163,-0.364093414,1.375644359,1.326240166,1.331311153,1.337212985,0.311729662,1.292599732,1.267218426,1.121372217,1.134833406,1.357815902,1.331069131,1.351065914,1.332039804,0.568582091,1.292474618,1.291945355,1.14293595,1.101332894,1.358445556,1.322435328,1.31282348,1.33428209,0.065649819,1.281086394,1.274929208,1.117283196,1.481144796,1.397438472,1.98461871,-1.425454797,-1.416120513,-1.425454797,-1.406494907,-0.699998744,-1.383971207,-1.425454797,-1.345125397,-0.703969077,-0.973438233,-0.974856056,-1.009910649,-0.696939686,-0.508115299,-0.937138368,-1.015969359,-0.644371067,-0.640030825,0.088765377,0.131094019,-0.03112811,0.565995367,-0.492194752,0.610506939,0.840508296,0.96201008,-0.107038372,-1.496932574,-1.498007349,-1.496932574,-1.499050853,-0.225377218,-1.517577352,-1.496932574,-1.553598487,0.262132708,-1.420737142,-1.412083692,-1.420793527,-1.402898847,-0.739906859,-1.377878383,-1.420793527,-1.34023341,-0.742094704,-1.443080998,-1.434881098,-1.443072486,-1.426145062,-1.241964234,-1.400614924,-1.443072486,-1.354297761,-1.345746792,2.599671541,2.524431405,2.373676456,2.647740215,-0.14658741,2.239008772,1.853847504,2.189987766,0.057573608,-1.440749784,-1.432334214,-1.440644478,-1.423717665,-1.132300449,-1.395259809,-1.440644478,-1.34947779,-1.311071248
2020/5/21,AMZN,1.373888572,1.338744654,1.348901269,1.337446187,0.651945785,1.293930791,1.28768981,1.144619312,1.071162444,1.397743506,1.330886094,1.348872564,1.335152958,0.780727783,1.295046269,1.284844723,1.141806947,1.069932108,-0.323143038,-0.471492934,-0.543798438,-0.34581927,-0.301493725,-0.353378294,-0.344319765,-0.312152163,-0.365905959,1.397048393,1.339058744,1.352247509,1.337212985,0.698740917,1.306253696,1.287465274,1.129513229,0.714005701,1.399212367,1.342013145,1.351065914,1.341633162,0.364752232,1.304057729,1.291945355,1.14293595,0.679987944,1.399805296,1.333270837,1.353246841,1.33428209,0.569445274,1.295035,1.294241962,1.14581769,1.092292955,1.353870067,-2.04968703,-1.423635855,-1.414484355,-1.423635855,-1.404698572,-0.700209706,-1.382124621,-1.423635855,-1.343025273,-0.705132232,-0.940335244,-0.978233641,-1.027284472,-0.696939686,-0.508931059,-0.938592617,-1.015969359,-0.644371067,-0.640155724,-0.177285278,0.032361452,-0.173504429,0.565995367,-0.602283176,0.5650019,0.840508296,0.96201008,-0.123458425,-1.490951822,-1.491946761,-1.490951822,-1.491168933,-0.225549827,-1.50946782,-1.490951822,-1.54298735,0.218276157,-1.41883372,-1.41040909,-1.418890055,-1.401117341,-0.739216818,-1.376139537,-1.418890055,-1.338087836,-0.744309551,-1.441048206,-1.432848544,-1.441039723,-1.423988062,-1.240702837,-1.399019353,-1.441039723,-1.352585375,-1.34182799,2.586100398,2.520193387,2.373676456,2.647740215,-0.149197706,2.258749975,1.853847504,2.311100924,-0.076225249,-1.438451566,-1.43027046,-1.43834681,-1.421570283,-1.124065916,-1.393687077,-1.43834681,-1.348287949,-1.309180508
2020/5/22,AMZN,1.363206613,1.350124905,1.348901269,1.351069506,0.436416937,1.305901639,1.28768981,1.163498362,0.626303917,1.359490563,1.34162424,1.348872564,1.335152958,0.668525887,1.306825992,1.284844723,1.141806947,0.652184479,-0.602031729,-0.509727597,-0.543798438,-0.51179363,-0.296704066,-0.362078875,-0.344319765,-0.370199808,-0.360727259,1.350269151,1.346547493,1.352247509,1.337212985,0.574158936,1.318070116,1.287465274,1.244391964,0.20475842,1.355610167,1.350415213,1.351065914,1.359936625,0.116604974,1.315365461,1.291945355,1.258427017,0.198819365,1.356241778,1.344209912,1.353246841,1.343873362,0.365497673,1.306614575,1.294241962,1.14581769,0.673614135,1.345479646,-0.402989571,-1.421929488,-1.412859927,-1.421929488,-1.402893637,-0.699024309,-1.380289538,-1.421929488,-1.340941544,-0.706245865,-0.962948455,-0.980937593,-1.027284472,-0.696939686,-0.509273996,-0.941303015,-1.015969359,-0.644371067,-0.640319799,-0.173269419,-0.037236915,-0.287045038,0.565995367,-0.676297022,0.523715871,0.840508296,0.96201008,-0.136003284,-1.484951636,-1.486154868,-1.484951636,-1.485293938,-0.177415571,-1.501513546,-1.484951636,-1.52707548,0.176270916,-1.417070172,-1.408735617,-1.41712646,-1.399235683,-0.737332645,-1.374411526,-1.41712646,-1.335741082,-0.746361656,-1.43916183,-1.430853234,-1.439153375,-1.422146174,-1.239441441,-1.397416353,-1.439153375,-1.351495432,-1.337664263,2.574877469,2.513477222,2.352336246,2.647740215,-0.154330254,2.274623155,1.853847504,2.462542759,-0.165334496,-1.436181889,-1.428187772,-1.436077677,-1.419892909,-1.111672225,-1.39207692,-1.436077677,-1.347215449,-1.307035469
